safety_low,safety_med,safety_high,persons_4,persons_more,persons_2,buying_vhigh,buying_low,buying_med,buying_high,maint_vhigh,maint_low,maint_med,maint_high,lugboot_big,lugboot_med,lugboot_small,doors_4,doors_3,doors_2,doors_morethanfive,label
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
