a1_-inf-0.013,a1_0.013-0.052,a1_0.052-0.066,a1_0.066-inf,a2_-inf-0.01,a2_0.01-0.081,a2_0.081-0.16,a2_0.16-inf,a3_-inf-0.008,a3_0.008-0.022,a3_0.022-0.111,a3_0.111-inf,a4_-inf-0.018,a4_0.018-0.052,a4_0.052-0.054,a4_0.054-inf,a5_-inf-0.026,a5_0.026-0.039,a5_0.039-0.041,a5_0.041-inf,a6_-inf-0.079,a6_0.079-0.082,a6_0.082-0.226,a6_0.226-inf,a7_-inf-0.039,a7_0.039-0.057,a7_0.057-0.06,a7_0.06-inf,a8_-inf-0.048,a8_0.048-0.075,a8_0.075-0.417,a8_0.417-inf,a9_-inf-0.062,a9_0.062-0.116,a9_0.116-0.163,a9_0.163-inf,a10_-inf-0.022,a10_0.022-0.163,a10_0.163-0.175,a10_0.175-inf,a11_-inf-0.11,a11_0.11-0.198,a11_0.198-0.213,a11_0.213-inf,a12_-inf-0.133,a12_0.133-0.225,a12_0.225-0.616,a12_0.616-inf,a13_-inf-0.056,a13_0.056-0.163,a13_0.163-0.249,a13_0.249-inf,a14_-inf-0.038,a14_0.038-0.136,a14_0.136-0.286,a14_0.286-inf,a15_-inf-0.013,a15_0.013-0.067,a15_0.067-0.07,a15_0.07-inf,a16_-inf-0.112,a16_0.112-0.114,a16_0.114-0.678,a16_0.678-inf,a17_-inf-0.146,a17_0.146-0.164,a17_0.164-0.672,a17_0.672-inf,a18_-inf-0.089,a18_0.089-0.185,a18_0.185-0.268,a18_0.268-inf,a19_-inf-0.112,a19_0.112-0.452,a19_0.452-inf,a20_-inf-0.377,a20_0.377-0.514,a20_0.514-0.771,a20_0.771-inf,a21_-inf-0.095,a21_0.095-0.65,a21_0.65-0.938,a21_0.938-inf,a22_-inf-0.708,a22_0.708-0.73,a22_0.73-0.753,a22_0.753-inf,a23_-inf-0.572,a23_0.572-0.709,a23_0.709-0.914,a23_0.914-inf,a24_-inf-0.544,a24_0.544-0.621,a24_0.621-0.692,a24_0.692-inf,a25_-inf-0.794,a25_0.794-0.937,a25_0.937-0.997,a25_0.997-inf,a26_-inf-0.165,a26_0.165-0.277,a26_0.277-0.319,a26_0.319-inf,a27_-inf-0.503,a27_0.503-0.869,a27_0.869-0.873,a27_0.873-inf,a28_-inf-0.465,a28_0.465-0.923,a28_0.923-0.989,a28_0.989-inf,a29_-inf-0.759,a29_0.759-0.991,a29_0.991-inf,a30_-inf-0.163,a30_0.163-0.202,a30_0.202-inf,a31_-inf-0.302,a31_0.302-0.451,a31_0.451-0.852,a31_0.852-inf,a32_-inf-0.082,a32_0.082-0.492,a32_0.492-inf,a33_-inf-0.414,a33_0.414-0.544,a33_0.544-0.985,a33_0.985-inf,a34_-inf-0.078,a34_0.078-0.692,a34_0.692-0.701,a34_0.701-inf,a35_-inf-0.181,a35_0.181-0.195,a35_0.195-0.864,a35_0.864-inf,a36_-inf-0.197,a36_0.197-0.505,a36_0.505-0.685,a36_0.685-inf,a37_-inf-0.352,a37_0.352-0.377,a37_0.377-0.68,a37_0.68-inf,a38_-inf-0.061,a38_0.061-0.488,a38_0.488-inf,a39_-inf-0.066,a39_0.066-0.088,a39_0.088-0.884,a39_0.884-inf,a40_-inf-0.331,a40_0.331-0.629,a40_0.629-0.759,a40_0.759-inf,a41_-inf-0.046,a41_0.046-0.771,a41_0.771-inf,a42_-inf-0.085,a42_0.085-0.318,a42_0.318-0.481,a42_0.481-inf,a43_-inf-0.077,a43_0.077-0.309,a43_0.309-0.762,a43_0.762-inf,a44_-inf-0.13,a44_0.13-0.427,a44_0.427-0.677,a44_0.677-inf,a45_-inf-0.038,a45_0.038-0.385,a45_0.385-0.429,a45_0.429-inf,a46_-inf-0.059,a46_0.059-0.073,a46_0.073-0.288,a46_0.288-inf,a47_-inf-0.022,a47_0.022-0.062,a47_0.062-0.148,a47_0.148-inf,a48_-inf-0.049,a48_0.049-0.076,a48_0.076-0.079,a48_0.079-inf,a49_-inf-0.023,a49_0.023-0.045,a49_0.045-0.059,a49_0.059-inf,a50_-inf-0.007,a50_0.007-0.011,a50_0.011-0.047,a50_0.047-inf,a51_-inf-0.002,a51_0.002-0.013,a51_0.013-0.044,a51_0.044-inf,a52_-inf-0.007,a52_0.007-0.009,a52_0.009-0.024,a52_0.024-inf,a53_-inf-0.016,a53_0.016-0.017,a53_0.017-0.027,a53_0.027-inf,a54_-inf-0.001,a54_0.001-0.022,a54_0.022-0.027,a54_0.027-inf,a55_-inf-0.006,a55_0.006-0.024,a55_0.024-inf,a56_-inf-0.002,a56_0.002-0.025,a56_0.025-inf,a57_-inf-0.001,a57_0.001-0.002,a57_0.002-inf,a58_-inf-0.016,a58_0.016-0.02,a58_0.02-inf,a59_-inf-0.001,a59_0.001-0.012,a59_0.012-0.014,a59_0.014-inf,a60_-inf-0.016,a60_0.016-0.018,a60_0.018-inf,label
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
