Sex_male,Sex_female,Age_-inf-0.17,Age_0.17-0.33,Age_0.33-0.42,Age_0.42-0.75,Age_0.75-0.83,Age_0.83-0.92,Age_0.92-1.0,Age_1.0-2.0,Age_2.0-3.0,Age_3.0-4.0,Age_4.0-5.0,Age_5.0-6.0,Age_6.0-7.0,Age_7.0-8.0,Age_8.0-9.0,Age_9.0-10.0,Age_10.0-11.0,Age_11.0-11.5,Age_11.5-12.0,Age_12.0-13.0,Age_13.0-14.0,Age_14.0-14.5,Age_14.5-15.0,Age_15.0-16.0,Age_16.0-17.0,Age_17.0-18.0,Age_18.0-18.5,Age_18.5-19.0,Age_19.0-20.0,Age_20.0-20.5,Age_20.5-21.0,Age_21.0-22.0,Age_22.0-22.5,Age_22.5-23.0,Age_23.0-23.5,Age_23.5-24.0,Age_24.0-24.5,Age_24.5-25.0,Age_25.0-26.0,Age_26.0-26.5,Age_26.5-27.0,Age_27.0-28.0,Age_28.0-28.5,Age_28.5-29.0,Age_29.0-30.0,Age_30.0-30.5,Age_30.5-31.0,Age_31.0-32.0,Age_32.0-32.5,Age_32.5-33.0,Age_33.0-34.0,Age_34.0-34.5,Age_34.5-35.0,Age_35.0-36.0,Age_36.0-36.5,Age_36.5-37.0,Age_37.0-38.0,Age_38.0-38.5,Age_38.5-39.0,Age_39.0-40.0,Age_40.0-40.5,Age_40.5-41.0,Age_41.0-42.0,Age_42.0-43.0,Age_43.0-44.0,Age_44.0-45.0,Age_45.0-45.5,Age_45.5-47.0,Age_47.0-48.0,Age_48.0-49.0,Age_49.0-50.0,Age_50.0-51.0,Age_51.0-52.0,Age_52.0-53.0,Age_53.0-54.0,Age_54.0-55.0,Age_55.0-55.5,Age_55.5-56.0,Age_56.0-57.0,Age_57.0-58.0,Age_58.0-59.0,Age_59.0-60.0,Age_60.0-60.5,Age_60.5-62.0,Age_62.0-63.0,Age_63.0-64.0,Age_64.0-65.0,Age_65.0-76.0,Age_76.0-inf,Age_,Number_of_Siblings_Spouses_-inf-0.0,Number_of_Siblings_Spouses_0.0-1.0,Number_of_Siblings_Spouses_1.0-2.0,Number_of_Siblings_Spouses_2.0-3.0,Number_of_Siblings_Spouses_3.0-4.0,Number_of_Siblings_Spouses_4.0-5.0,Number_of_Siblings_Spouses_5.0-8.0,Number_of_Siblings_Spouses_8.0-inf,Number_Of_Parents_Children_-inf-0.0,Number_Of_Parents_Children_0.0-1.0,Number_Of_Parents_Children_1.0-2.0,Number_Of_Parents_Children_2.0-3.0,Number_Of_Parents_Children_3.0-4.0,Number_Of_Parents_Children_4.0-5.0,Number_Of_Parents_Children_5.0-6.0,Number_Of_Parents_Children_6.0-9.0,Number_Of_Parents_Children_9.0-inf,Fare_-inf-0.0,Fare_0.0-3.171,Fare_3.171-6.95,Fare_6.95-6.975,Fare_6.975-7.0,Fare_7.0-7.046,Fare_7.046-7.142,Fare_7.142-7.225,Fare_7.225-7.229,Fare_7.229-7.25,Fare_7.25-7.283,Fare_7.283-7.312,Fare_7.312-7.496,Fare_7.496-7.521,Fare_7.521-7.55,Fare_7.55-7.575,Fare_7.575-7.629,Fare_7.629-7.65,Fare_7.65-7.721,Fare_7.721-7.725,Fare_7.725-7.729,Fare_7.729-7.733,Fare_7.733-7.737,Fare_7.737-7.742,Fare_7.742-7.75,Fare_7.75-7.775,Fare_7.775-7.779,Fare_7.779-7.796,Fare_7.796-7.8,Fare_7.8-7.829,Fare_7.829-7.85,Fare_7.85-7.854,Fare_7.854-7.875,Fare_7.875-7.879,Fare_7.879-7.888,Fare_7.888-7.896,Fare_7.896-7.925,Fare_7.925-8.029,Fare_8.029-8.05,Fare_8.05-8.113,Fare_8.113-8.137,Fare_8.137-8.517,Fare_8.517-8.654,Fare_8.654-8.662,Fare_8.662-8.683,Fare_8.683-8.713,Fare_8.713-8.963,Fare_8.963-9.0,Fare_9.0-9.35,Fare_9.35-9.475,Fare_9.475-9.5,Fare_9.5-9.588,Fare_9.588-9.688,Fare_9.688-9.842,Fare_9.842-9.846,Fare_9.846-10.5,Fare_10.5-10.517,Fare_10.517-11.133,Fare_11.133-11.5,Fare_11.5-12.0,Fare_12.0-12.275,Fare_12.275-12.287,Fare_12.287-12.35,Fare_12.35-12.475,Fare_12.475-12.525,Fare_12.525-12.65,Fare_12.65-12.738,Fare_12.738-13.0,Fare_13.0-13.417,Fare_13.417-13.5,Fare_13.5-13.775,Fare_13.775-13.792,Fare_13.792-13.858,Fare_13.858-13.863,Fare_13.863-13.9,Fare_13.9-14.0,Fare_14.0-14.108,Fare_14.108-14.4,Fare_14.4-14.454,Fare_14.454-14.458,Fare_14.458-14.5,Fare_14.5-15.0,Fare_15.0-15.246,Fare_15.246-15.5,Fare_15.5-15.55,Fare_15.55-15.579,Fare_15.579-15.742,Fare_15.742-15.85,Fare_15.85-15.9,Fare_15.9-16.0,Fare_16.0-16.1,Fare_16.1-16.7,Fare_16.7-17.4,Fare_17.4-17.8,Fare_17.8-18.75,Fare_18.75-18.788,Fare_18.788-19.258,Fare_19.258-19.967,Fare_19.967-20.212,Fare_20.212-20.25,Fare_20.25-20.525,Fare_20.525-20.575,Fare_20.575-21.0,Fare_21.0-21.075,Fare_21.075-22.025,Fare_22.025-22.358,Fare_22.358-22.525,Fare_22.525-23.0,Fare_23.0-23.25,Fare_23.25-23.45,Fare_23.45-24.0,Fare_24.0-24.15,Fare_24.15-25.467,Fare_25.467-25.587,Fare_25.587-25.7,Fare_25.7-25.742,Fare_25.742-25.929,Fare_25.929-26.0,Fare_26.0-26.25,Fare_26.25-26.283,Fare_26.283-26.55,Fare_26.55-27.0,Fare_27.0-27.446,Fare_27.446-27.721,Fare_27.721-27.75,Fare_27.75-27.9,Fare_27.9-29.0,Fare_29.0-29.125,Fare_29.125-29.7,Fare_29.7-30.0,Fare_30.0-30.071,Fare_30.071-30.5,Fare_30.5-30.696,Fare_30.696-31.0,Fare_31.0-31.275,Fare_31.275-31.387,Fare_31.387-31.5,Fare_31.5-31.679,Fare_31.679-32.321,Fare_32.321-32.5,Fare_32.5-33.0,Fare_33.0-33.5,Fare_33.5-35.5,Fare_35.5-36.75,Fare_36.75-37.004,Fare_37.004-38.5,Fare_38.5-39.0,Fare_39.0-39.4,Fare_39.4-39.6,Fare_39.6-39.688,Fare_39.688-40.125,Fare_40.125-41.579,Fare_41.579-42.4,Fare_42.4-46.9,Fare_46.9-47.1,Fare_47.1-49.5,Fare_49.5-49.504,Fare_49.504-50.0,Fare_50.0-51.479,Fare_51.479-51.862,Fare_51.862-52.0,Fare_52.0-52.554,Fare_52.554-53.1,Fare_53.1-55.0,Fare_55.0-55.442,Fare_55.442-55.9,Fare_55.9-56.496,Fare_56.496-56.929,Fare_56.929-57.75,Fare_57.75-57.979,Fare_57.979-59.4,Fare_59.4-60.0,Fare_60.0-61.175,Fare_61.175-61.379,Fare_61.379-61.979,Fare_61.979-63.358,Fare_63.358-65.0,Fare_65.0-66.6,Fare_66.6-69.3,Fare_69.3-69.55,Fare_69.55-71.0,Fare_71.0-71.283,Fare_71.283-73.5,Fare_73.5-75.25,Fare_75.25-76.292,Fare_76.292-77.287,Fare_77.287-77.958,Fare_77.958-78.85,Fare_78.85-79.2,Fare_79.2-79.65,Fare_79.65-80.0,Fare_80.0-81.858,Fare_81.858-82.171,Fare_82.171-82.267,Fare_82.267-83.158,Fare_83.158-83.475,Fare_83.475-86.5,Fare_86.5-90.0,Fare_90.0-91.079,Fare_91.079-93.5,Fare_93.5-106.425,Fare_106.425-108.9,Fare_108.9-110.883,Fare_110.883-113.275,Fare_113.275-120.0,Fare_120.0-134.5,Fare_134.5-135.633,Fare_135.633-136.779,Fare_136.779-146.521,Fare_146.521-151.55,Fare_151.55-153.463,Fare_153.463-164.867,Fare_164.867-211.338,Fare_211.338-211.5,Fare_211.5-221.779,Fare_221.779-227.525,Fare_227.525-247.521,Fare_247.521-262.375,Fare_262.375-263.0,Fare_263.0-512.329,Fare_512.329-inf,Fare_,Class_2,Class_1,Class_3,Embarked_,Embarked_S,Embarked_C,Embarked_Q,Survived
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
